// object has instance vars and isn't a class, get a snapshot to be marshalled // and output the ivar header here
// line 1480
// make all sockets blocking as configured again // close unregisters all channels, so we can safely reset blocking modes
// normal all-rest method
// line 1210
// TODO: make more efficient by not creating IRubyArray[]
// TODO: Ruby unlocks the string here
// We don't append '+' since Java number parser gets confused
// We could not find all of them print out first one (we could print them all?)
// EQ == 0 (i.e. false) // pop the extra result and replace with the send part of the AND
// line 1814
// confirm maximum not greater than optional
// RubyIPSocket
// Not sure how well this works, but it works much better than // just currentTimeMillis by itself.
// line 1320
// TODO: wire into new exception handling mechanism
// rubyObject is already of the required jruby class (or subclass)
// we set all Java methods to optional, since many/most have overloads
// line 1434
// line 407
// Count of nested parentheses (1.9 only)
// A scoped location of this variable (high 16 bits is how many scopes down and low 16 bits // is what index in the right scope to set the value.
// line 543
// first char must be digit or decimal point
// with block literal (iter)
//consume the file name
// any exceptions raised must continue to be raised, skipping $! restoration
// if we expect a return value, unwrap it
// FIXME: This is probably not very efficient, since it loads all methods for each call
// Does this instruction have side effects as a result of its operation // This information is used in optimization phases to impact dead code elimination // and other optimization passes
// ////////////////// COMMON CONSTANT / CVAR METHODS //////////////// //
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// just save a count of zeroes for now; if no digit // ends up following them, they'll be applied to the // exponent rather than the significand (and our max // length for optimistic calc).
// line 1207
// This is almost always already interned, since it will be called with a symbol in most cases // but when created from Java code, we might get an argument that needs to be interned. // addAccessor has as a precondition that the string MUST be interned
// rb_reg_raise
// // Avoid double-copying for reads that are larger than the buffer size, or // the destination is a direct buffer. //
// quietly try to load the class
// Line where current executing unit is being evaluated
// no-arg constructor using static references to Ruby and RubyClass
// If we have more than one arg, make sure the array created to contain them is not ObjectSpaced
// add $RUBYLIB paths
// Accessor methods.
// See [ruby-core:17483]
// Default objects
// FIXME: This is temporary since the variable compilers assume we want // args already on stack for assignment. We just pop and continue with // 1.9 args logic.
"/**     * Process streams get Channel.newChannel()ed into FileChannel but are not actually     * seekable. So instead of just the isSeekable check doing instanceof FileChannel,     * we must also add this boolean to check, which we set to false when it's known     * that the incoming channel is from a process.     *      * FIXME: This is gross, and it's NIO's fault for not providing a nice way to     * tell if a channel is ""really"" seekable.     */"
// default for starting tempVariableIndex is ok
// Stores
// line 159 "-" // %token constants
// // rb_str_buf_append
// The name of the variable
// all these types are immediately considered "defined"
// What linenumber will the source think it starts from?
// clear runtime so it doesn't get stuck in memory (JRUBY-2933)
// line 1075
// For closures, a redo is a jump to the beginning of the closure // For non-closures, a redo is a jump to the beginning of the loop
// This is needed when the enclosing class or module is a singleton. // In that case, we generated a name such as null::Foo, which broke  // Marshalling, among others. The correct thing to do in this situation  // is to insert the generate the name of form #<Class:01xasdfasd> if  // it's a singleton module/class, which this code accomplishes.
// generate method cache initialization code
// line 757
// ignore // switch
// we can't rename a file while it's open in windows
// TODO: make it 16 now ? // MUST be power of 2!
// Don't bother
// this is a rather ugly hack, but similar to MRI. See hash.c:ruby_setenv and similar in MRI // we search all keys for a case-insensitive match, and use that
// range_each_func(range, step_i, b, e, args);
// line 836
//                case FLOAT:
// A thread pool to use for executing this runtime's Ruby threads
// TODO: READ_CHECK from MRI
// build a list of all modules to consider for inclusion
// ------ Define the operations below ----
// line 429
// FIXME: inefficient; constructing a bignum just for dumping?
// ignore; we won't use invokedynamic
// dangling '%' char
// TODO: add trace call?
"/*  ================     *  Instance Methods     *  ================      */"
// restore position
// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.
// Dir::tmpdir
/* EvStrNode :"#{some expression}"*/
// line 604
// if root of method is rescue, build as a light rescue
// TODO: Implement tty? and isatty.  We have no real capability to // determine this from java, but if we could set tty status, then // we could invoke jruby differently to allow stdin to return true // on this.  This would allow things like cgi.rb to work properly.
// this set is only for darwin
// Both for fixed arity and variable arity methods
// Adjust for buffered data
// We parse evals more often in source so assume an eval parse.
// TODO: Split this into two sub-classes so that name and constNode can be specified seperately.
// LOCALVAR
// logEvery n methods based on configuration
// done // done // done // done
// try cwd first
// if we get here, no optz cases work; fall back on unoptz.
// SSS FIXME: Should this be a string literal or a string? // Dummy class for the script
// bench fully-boxed fib
// No passed in block, lets check next outer frame for one ('Proc.new')
/* $$: pid */
// store the wrapper
// entry is the first element of this bucket
// Just a plain bang
// // Cannot discern the total read length - allocate at least enough for the buffered data //
// normal finally and exit
// SignalFacade
// TODO: Ruby logic is somewhat more complicated here, see comments after
// Jump instruction bbs dont add an edge to the succeeding bb by default
// actual required is less than 3, so we use specific arity
// Portion of line right after beginning marker
// rb_match_busy
// MUST NOT be used across threads
// Create list of interface names to proxy (and make sure they really are interfaces) // Also build a hashcode from all classes to use for retrieving previously-created impl
// // utility methods //
// ?x  | boolean | True if file1 exists and is executable by the effective uid/gid
// Add property name aliases
// line 1201
// for each simple method name, implement the complex methods, calling the simple version
//            return warnMultiReturnNil(ruby);
// TODO: confirm expected args are IRubyObject (or similar)
// line 845
// Java reflection does not allow retrieving constructors like methods
// Note: MRI has a very non-trivial way of calculating the precision, // so we use very simple approximation here:
// Fast path since JNA stat is about 10x slower than this
// comparisons & checks // checks if the operand is non-null and non-false // EQQ a === call used only for its conditional results, as in case/when, begin/rescue, ...
// FIXME: Clearing read buffer here...is this appropriate?
// line 1087
// This property is a Boolean, to allow three values, so it can match MRI's nil, false and true
// wait until thread has completed
// Without a flush Ant will miss some of our output
// get the incoming case value
// Is there something built into JRuby to do this?
// load self object as IRubyObject, for recv param
// line 1968
// Containing class...The parent of Object is null. Object should always be last in chain.
// optArgs and restArgs require more work, so isolate them and ArrayList creation here
// line 920
// // A specific version was requested - use as is for search //
// ZStream actually *isn't* allocatable
// no number
// ENEBO: 1.9 is IS_ARG, but we need to break apart for 1.8 support.
// try count specific args to determine required
// save blocking state
// zero args, no block; do nothing
// ENEBO: Totally weird naming (in MRI is not allocated and is a local var name)
// If the solution has changed, add "dsts" to the work list. // No duplicates please which is why we have bbset.
// if no exception raised, jump to end to leave result on stack for return
// RubyDigest
//[boolean]
// Translate "x || y" --> "x = (is_true(x) ? x : y)" --> //  //    x = -- build(x) should return a variable! -- //    f = is_true(x) //    beq(f, true, L) //    x = -- build(y) -- // L: //
// If we define a class in Ruby, but later want to allow it to be defined in Java, // the allocator needs to be updated
// the CASE instruction
// line 727
// assign to appropriate variable
// Variables live at entry of this node // Variables live at exit of node // Temporary set of live variables // Size of the "_in" and "_out" bit sets
// FIXME: When we get JNA3 we need to properly write this to errno.
// super calls from proxies must use reflected method // FIXME: possible to make handles do the superclass call?
// checkcast the value; if match, fast path; otherwise proceed to slow logic
// line 317
// line 1395
// block argument assignment, if there's a block arg
// unknown extension, fall back to exact search
// line 992
// for fast lookup: encoding entry => org.jruby.RubyEncoding
// FIXME: This is pretty gross; we should have a cleaner initialization // that doesn't depend on package-visible fields and ideally is atomic, // probably using an immutable structure we replace all at once. // lazy, null when no groups defined
// original exception is on stack
// The replacement "new" allocates and inits the Ruby object as before, but // also instantiates our proxified Java object by calling __jcreate!
// suboptimal for large hashes (> 1073741824 + 85 entries) not very likely to happen
// We create one extra dynamicScope on a binding so that when we 'eval "b=1", binding' the // 'b' will get put into this new dynamic scope.  The original scope does not see the new // 'b' and successive evals with this binding will.  I take it having the ability to have  // succesive binding evals be able to share same scope makes sense from a programmers  // perspective.   One crappy outcome of this design is it requires Dynamic and Static  // scopes to be mutable for this one case.
/* bang: true, no match, no substitution */
// Deprecated String construction routines
// line 336
// first char must be digit
// '~user/...' as path to expand
// TODO: Determine whether we should perhaps store non-singleton class // in the implementationClass
// line 619
//reset the $loadTestvar
// ChannelDescriptors opened by sysopen are cached to avoid collection
// root-level methods
// FIXME: Ruby 1.9 post args code needs to come here
// rename via Java API call wasn't successful, let's try some tricks, similar to MRI
// double-testing args.length here, but it avoids duplicating the proc-setup code in two places
// callbacks to fill in method body
/*mirko: check*/
// fill in all vars with nil so compiler is happy about future accesses
// at end
// FIXME: No, I don't like it.
"/*  ================     *  Module Methods     *  ================      */"
// value copy and type conversion operations
// line 1436
// alarm(bell)
// we limit to int because ByteBuffer can only allocate int sizes
// FIXME: This is copied code from RubyArray.  Both RE, Struct, and Array should share one impl // This is also hacky since I construct ruby objects to access ruby arrays through aref instead // of something lower.
// line 1078
"/*         * Now we create a new BSFManager.         */"
// are we at '**/'
// TODO: SafeStringValue here
// we'll only map conventional class names to modules
// We require the home directory to be absolute
// Skip all whitespace in pack format string
//Kernel is the only Module that doesn't need an implementor
// allow proxy to be read without synchronization. if proxy // is under construction, only the building thread can see it.
// JRUBY-530, while case
// we try to get the classloader that loaded JRuby, falling back on System
// inside a loop, jump to conditional
// integer division
// trailing garbage
// line 454
// for zsupers in define_method (blech!) we tell the proc scope to act as the "argument" scope
// this is ensured by the callers
// no variable initialization, because we're reusing parent's scope (flat)
// loop until we see the nth separator char
// TODO: non-strict option
// line 1023
// line 1516
// Major // Minor
// line 451
/* zero length array */
// won't hurt fixnums
// IRubyObject, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, args
// TODO: At least ParserSupport.attrset passes argsNode as null.  ImplicitNil is wrong magic for  // setupArgs since it will IRubyObject[] { nil }.  So we need to figure out a nice fast // null pattern for setupArgs. // assert argsNode != null : "receiverNode is not null";
"/**      * Nested class whose instances act as thunks reacting to to_str method     * called from (Exception#to_str, Exception#message)     * MRI equivalent: rb_cNameErrorMesg, class name: ""message"", construction method: ""!"",     * to_str implementation: ""name_err_mesg_to_str""     *     * TODO: this class should not be lookupable     */"
// rb_cstr_to_dbl case
// TODO: no need to calculate every time.
// index of last character in pushback buffer
// direct invocation of the command
// Install direct java methods with mangled name so 'send' can call them directly.
// since we're not actually duping the incoming channel into our handler, we need to // copy the original sync behavior from the other handler
// reset the state
// Paths which end in "/" or "\\" must be stripped off.
// The problem we trying to solve below: STDIN in Java // is blocked and non-interruptible, so if we invoke read // on it, we might never be able to interrupt such thread. // So, we use in.available() to see if there is any input // ready, and only then read it. But this approach can't // tell whether the end of stream reached or not, so we // might end up looping right at the end of the stream. // Well, at least, we can improve the situation by checking // if some input was ever available, and if so, not // checking for available anymore, and just go to read.
// also create the JavaProxy* classes
// '.' is printed
// line 717
// if channel is already closed, we're no longer valid
// in method body with no containing loop, issue jump error // load runtime and value, issue jump error
// line 7713 "-"
// The current block is already associated with proc.  No need to create a new one
// convert to IRubyObject
// line 1553
// line 1647
// only rest, must be at least required
// add in reverse order
// synchronize on the RubyThread for threadgroup updates
// line 928
// string has it's own ByteList, but it's pointing to a shared buffer (byte[])
//normal exit, this should be faster than a test at each iterations for string with more than //about 40 char
// Object#to_a is obsolete.  We match Ruby's hack until to_a goes away.  Then we can  // remove this hack too.
//assert !(value instanceof RubyArray)  : "Not an array";
// line 333
// TODO: Consider a better way of synchronizing
// A gotcha for Long.MIN_VALUE: value = -value
// line 1369
// all other arg cases without block
// SSS FIXME: Move this code to some utils area .. or probably there is already a method for this in some jruby utils class // Holy cow!  Just to append two darned arrays!
// calculate based on a, b, c and d
// use this for JRuby-internal finalizers
// Make the class name look nice, by splitting on _ and capitalize each segment, then joining // the, together without anything separating them, and last put on "Service" at the end.
// line 509
// HACK: force clinit to be created
// line 984
// retrieve call site from sites array
// SSS FIXME: Where is this set up?  How is this diff from ClassVarDeclNode??
// line 1072
/*arg2*/
// it's an absolute path, use it as-is
//io.finish();
// store it
// for zero, one, two, three arities, JavaMethod.JavaMethod*.call(...IRubyObject[] args...) will check
//////////////////// CATCH MANAGEMENT ////////////////////////
// MRI-compatible basename handling for windows drive letter paths
// line 903
// FIXME: I think we need these pushed somewhere?
// line 1313
// class could not be found nor generated; give up on JIT and bail out
// MRI behavior: we don't print errno for actual Errno errors
// line 1162
// CON FIXME: I don't know how to make case be an expression...does that // logic need to go here?
// line 2006
// Not sure if this is actually possible, but better safe than sorry
// Remaining arguments are for the script itself
// Start of string ([, (, {, <, ', ", \n)
// // Need to clamp source (buffer) size to avoid overrun //
// line 1587
// line 1687
// we only close out if it's the slave stream, to avoid // closing a directly-mapped stream from parent process
// switch //while
// even shift.. // ..floors to 62 or 63 bit BigInteger
// FIXME: I don't like this
// Create the ordered list of field names from the map
// If reciever is self then we do the call the same way as vcall
// line 1761
// arg and receiver already present on the stack
// Ruby name
// Need to initialize
// Frame matches one of our markers for "interpreted" calls
// store the local vars in a local variable
// IRubyObject, DynamicMethod, ThreadContext, IRubyObject, RubyClass, String, IRubyObject
// Object[] args
// we reached the end of a list
// line 1345
// add alias to meta
// eval instructions
// Create global constants and variables
// line 286
// only whitespace allowed after value for strict
// synthetic methods always have zero arg parameters
// line 1705
// TODO: This and recacheRespondsTo needed to be synchronized for JRUBY-3466, // but this degraded performance nearly 2x. It's still faster than MRI, but // a reanalysis of this code may show a faster way to ensure we're caching // safely.
// Long-hand (e.g. %Q{}).
// line 1296
// line 561
// line 1309
// line 1138
// line 1513
// update superclass reference
//System.err.println("ADDING CHAR: " + (char)cx + " with number: " + cx);
// using IOInputStream may not be the most performance way, but it's easy.
// calculation for simple (and typical) case, // adapted from sun.misc.FloatingDecimal
// line 912
// recheck condition
// line 1182
// line 498
// If there's no second argument, simply use the working directory  // of the runtime.
// line 926
// This represents left most digit in a set of incremented // values?  Therefore leftmost numeric must be '1' and not '0' // 999 -> 1000, not 999 -> 0000.  whereas chars should be // zzz -> aaaa and non-alnum byte values should be "\377" -> "\001\000"
// // Adding a post-invoke for the cb result serves to both keep it alive // until after the function returns, and allows us to clean up the native // trampoline early, instead of letting them accumulate until a GC run //
/* FIXME: Resolve what the hell is going on*/
// save the ungot
// FIXME: do we really want 'declared' methods?  includes private/protected, and does _not_ // include superclass methods.  also, the getDeclared calls may throw SecurityException if // we're running under a restrictive security policy.
// invoke static __file__
// first try as directory
// index for the item
// line 863
// call operator
// line 1108
// opt but no rest, must be at least required and no more than required + opt
// // Add aliases in Type::*, NativeType::* and FFI::TYPE_* //
// long, little-endian
// Our readback/pushback buffer.
// TODO: better error handling
// hack to get right style for input
// two args, no block; load NULL_BLOCK
// Makes sure the key is not already in the hashtable.
// NOTE: Since we are processing ASTs, loop bodies are processed in depth-first manner // with outer loops encountered before inner loops, and inner loops finished before outer ones. // // So, we can keep track of loops in a loop stack which  keeps track of loops as they are encountered. // This lets us implement next/redo/break/retry easily for the non-closure cases
//if the index is not a multiple of 8, we are not on a byte boundary
// If a line is followed by a blank line put // it back.
// re-register
// line 1035
// It's _really_ expensive to check that the class actually exists in the Jar, so // we don't do that now.
// Because Regexp#=== sets backref, we have to make this backref-aware
// return result if we're still good
// load arguments into IRubyObject[] for dispatch
// ?<  | boolean | True if the modification time of file1 is prior to that of file2
// construct the mirror class and parent classes
// conversion
/* $&: last match */
// already set up append_features, just add the interface if we haven't already
// We get canonical path to try and flatten the path out. // a dir '/subdir/..' should return as '/' // cnutter: Do we want to flatten path out?
// long, big-endian
// Bunch of methods still not implemented
// shift to yyN
// MRI accepts additional wday argument which appears to be ignored.
// line 382
// if root of method is rescue, compile as light rescue
// line 1032
// ignore; job was cancelled // FIXME: is this ok?
// READ_CHECK from MRI io.c
// unsigned char
// isFoo() => foo, isFoo(*) => foo(*)
// use the same logic as in EvaluationState
// line 1427
// line 1079
// CONSTANT
// include any interfaces we extend
// SSS FIXME: What is the difference between ClassVarAsgnNode & ClassVarDeclNode
// Does this method define code?  // Default is yes -- which basically leads to pessimistic but safe optimizations // But, for library and internal methods, this might be false.
// Correct position for read / write buffering (we could invalidate, but expensive)
// line 1568
// return last value from execution
// For 'list' and only populated if list is not null.
// call the proc, but not for symbols
// Readline
// we filled up current byte; append it and create next one
// brute force construction inline
// 1.8 "include?"
// NIO based pipe
// NOTE: MRI's sqrt precision is limited by 100, // but we allow values more than 100.
// value equality //result = eval("key = 3; arr = []; arr[key] = 'one'; arr.store(3, 'two'); puts arr[key]"); //assertEquals("two", result);
// line 666
// FIXME: this probably belongs in a different package.
// regular division with some default precision // TODO: proper algorithm to set the precision
/* --------- Protected fields/methods below --------- */
// double precision, little-endian
// line 332
// if it's an array, only add methods for aref, aset, and length
// one-dimensional array
// line 1168
// Our shell scripts pass in non-canonicalized paths, but even if we didn't // anyone who did would become unhappy because Ruby apps expect no relative // operators in the pathname (rubygems, for example).
// trigger class initialization for the class
// Unicode is can be only 21 bits long, int is enough
// otherwise, it's a literal array
// popen caller wants to be able to write, provide subprocess out directly
// line 1060
// Where we started this marker match
// see note below re: 2-field kludge
// FIXME: Somehow I'd feel better if this could get the appropriate var index from the ArgumentNode
// if not already defined, we add a 'new' that guesses at which signature to use // TODO: just adding first one right now...add in signature-guessing logic
// line 1107
/*receiver*/
// No argument blocks
// FIXME this below is temporary, but its much safer for COW (it prevents not shared Strings with begin != 0) // this allows now e.g.: ByteList#set not to be begin aware
// This is a non-standard method; have we decided to start extending Ruby? //classClass.defineFastMethod("subclasses", callbackFactory.getFastOptMethod("subclasses"));
// long first because it's what Fixnum claims to be
// rounding neccessary
// Is this instruction live or dead?  During optimization passes, if this instruction // causes no side-effects and the result of the instruction is not needed by anyone else, // we can remove this instruction altogether without affecting program correctness.
// line 1325
// fast and safe respond_to? call site logic
// line 1234
//yySindex 945
//TODO: implement, won't do this now
// We yield here to hopefully permit the target thread to schedule // MRI immediately schedules it, so this is close but not exact
//        assert internedSymbol == internedSymbol.intern() : internedSymbol + " is not interned";
// this _is_ legal (when removing an undef)
// line 296
// line 669
// Increase precision - next iteration supplies n exact digits
// FIXME weakref.rb also does caller(2) here for the backtrace
/* copy pre-match substr */
// x += e*v     ~ sqrt()
// SSS FIXME: What happens to the add class in this case??
// line 571
// Regexp engine 'java'
// CON: popen is a case where I think we should just always shell out.
// Ensure we have a new interpreter for each test. Previous we were using the //  same interpreter which caused problems as soon as one test failed.
// line 1417
// NOTE: The indicies here match exactly the signal values; do not reorder
// presumably this require should fail
// we have optimized switch cases, build a lookupswitch
/*utf8 lead byte*/
// line 1806
// Java support
// eval value and save it
// line 476
// The operand that this attribute targets //    DEFERRED //    AttributeValue _val;       // Attribute value
// Get the target class of this operand, if we know it!
//FIXME warning
// // Wait for I/O on any channel //
//[C,C] //[C, boolean]
// not actually called anywhere (all known uses call the fast version)
// raw file URL, just open directly
// line 905
// Initialize all flow graph nodes
// used by compiler
// no args, no block
// This method is called to build arguments for a block!
"/*     * Fixme:  This does not have exact same semantics as RubyArray.join, but they     * probably could be consolidated (perhaps as join(args[], sep, doChomp)).     */"
// just using required is broken...but no more broken than before zsuper refactoring
// line 1456
// set up a local IRuby variable
// first non_underscore char must be digit
// line 446
// line 754
// and we were given a specific exception
// always need at least a 0
// ---------- These methods below are used during compile-time optimizations -------
// backwards-compatibility, but threadsafe now
// Should we display extra debug information while parsing?
/* File class methods */
// Can't support the rest with Java
// if more than 4 vars, get values array too
// finally with exception
// save entering the try if there's nothing to ensure
"/* The counting of slashes that follows is simply a way to adhere to          * Ruby's UNC (or something) compatibility. When Ruby's expand_path is          * called with ""//foo//bar"" it will return ""//foo/bar"". JRuby uses          * java.io.File, and hence returns ""/foo/bar"". In order to retain          * java.io.File in the lower layers and provide full Ruby          * compatibility, the number of extra slashes must be counted and          * prepended to the result.         */"
//Everything written
// line 510
// next, iterate over all optional args, until no more arguments
// optional args, so we have IRubyObject[] // TODO: confirm
// Last token read via yylex().
// line 1828
// future is done or cancelled, skip it
// unframed invokers have no Ruby frames, so pull from class name // but use current frame as file and line
// assume nInit = 16 <= prec
// add all names for this annotation
// receiver
// arities
// reopen a java class
// thread context
// line 1470
"/*case SELFNODE:                handleUselessWarn(node, ""self""); return;*/"
// inner class, use $ to delimit
// temporary hack to handle non-Ruby values // will come up with better solution shortly
// TODO: Something about pipe buffer length here
// Copy constructor
// method still not available, call method_missing
// Zero sleeps forever
// FIXME: Old Mac format strings?
// create the closure class and instantiate it
// form feed
// an official rule, clarified: if the exponent // <clarif>after adjusting for exponent form</clarif> // is < -4,  or the exponent <clarif>after adjusting  // for exponent form</clarif> is greater than the // precision, use exponent form
// discarding a token does not change stack
// terminate and advance buffer when we find our char
// Insert nesting level to ensure variable names don't conflict across nested scopes! // i.e. definition of %v_1 in a closure shouldn't override the use of %v_1 from the parent scope! //        return new Variable(prefix + _lexicalNestingLevel + "_" + idx);
// What static scoping relationship exists when it comes into being.
// initialize these if they haven't been
